Year CamrySales    FJCruiserSales
2002 434145                             N/A
2003 413296                             N/A
2004 426990                             N/A
2005 431703                             N/A
2006 448445                             56225
2007 473108                             55170
2008 436617                             28668
2009 356824                             11941
2010 327804                             14959
2011 308510                             13541
2012 404886                             13656
2013 408484                             13131
2014 428606                             14718
2015 429355                             229
2016 388618                             8
