Recieved	Income Paid	Confirmed	Checked	Refunded	Net_rate
0	930369.90	621608.90	837332.91	662962.97	638075.97	17.06
73202.21	73202.21	56583.68	73202.21	73202.21	73202.21	22.7
364836.55	364836.55	328918.80	364836.54	364836.54	364836.54	10
124410.00	107258.00	100187.37	206339.00	207275.00	82865.00	19.47
24700.00	25000.00	19888.64	107565.00	90945.00	66245.00	19.47
443965.05	426437.00	370710.78	874361.76	765430.41	366894.48	16.5
416532.29	421346.20	335433.45	416532.29	416532.29	416532.29	19.47
79220.06	92000.00	66148.75	79220.06	79220.06	79220.06	16.5
51972.60	76356.00	41853.53	51972.60	181015.77	129043.17	19.47
3390.00	3390.00	2830.65	3390.00	3390.00	3390.00	16.5
12960.00	12960.00	10821.60	12960.00	12960.00	12960.00	16.5
3740.00	42460.00	3122.90	3740.00	3740.00	3740.00	16.5
56620.00	56620.00	47277.70	56620.00	56620.00	56620.00	16.5
1304598.00	2980167.22	1012260.39	1304598.00	1234463.89	1234463.89	20
347591.18	948225.48	276897.63	364012.30	364012.30	364012.30	20.34
3010298.81	3500000.00	2262192.41	3010298.81	2285290.81	2285290.81	20.8
1419287.51	608614.60	847607.58	1419287.51	993501.26	993501.26	23.83
882450.26	840000.00	728260.48	882450.26	882450.26	880450.26	18.03
0	622902.54	562480.08	622902.54	348882.05	348882.05	9.7
150857.63	155614.57	122194.68	150857.63	150857.63	150857.63	25.53
0	113018.57	121201.55	149631.54	149631.54	144702.54	23
25271.50	25271.50	18219.53	25271.50	25271.50	25271.50	16.5
100868.02	100868.02	84224.80	100868.02	100868.02	100868.02	16.5
56849.00	56849.00	39794.30	56849.00	56849.00	56849.00	30
152699.00	152699.00	106889.30	152699.00	152699.00	152699.00	30
29653.00	29653.00	20757.10	29653.00	29653.00	29653.00	30
64569.50	92242.14	54737.43	64569.50	64569.50	64569.50	15.23
236504.08	173887.60	162082.16	236504.08	236504.08	236504.08	16.5
366111.58	421095.86	285136.08	366111.58	366111.58	366111.58	22.12
78483.60	78483.60	65533.81	78483.60	78483.60	78483.60	16.5
105154.43	105154.43	87803.95	105154.43	105154.43	105154.43	16.5
139945.79	139945.79	116854.73	185341.56	185341.56	185341.56	16.5
123658.33	110119.67	95216.92	123658.33	123658.33	123658.33	23
133047.95	138879.97	102446.92	133047.95	133047.95	133047.95	23
72600.00	72600.00	50820.00	72600.00	72600.00	72600.00	30
427113.00	427113.00	316063.62	427113.00	427113.00	427113.00	30
137594.00	137594.00	96315.80	137594.00	137594.00	137594.00	30
500000.00	500000.00	358233.19	500000.00	500000.00	500000.00	28.35
155531.64	100171.83	85146.06	155531.64	65299.33	65299.33	19.84
416753.00	416753.00	305646.83	208378.00	453619.50	302413.00	19
109853.00	154332.00	82860.03	109853.00	109853.00	109853.00	24.57
66461.00	74916.00	50130.27	66461.00	66461.00	66461.00	21.88
79185.92	79185.92	60973.16	64085.00	64085.00	64085.00	23
73208.65	60940.50	56370.66	73208.65	73208.65	73208.65	23
66823.50	88006.90	49623.13	66823.50	66823.50	66823.50	25.74
22842.64	27595.02	21248.17	22842.64	22842.64	22842.64	6.98
87243.54	188569.80	123971.88	137243.45	132308.01	132243.45	23
19588.42	22145.70	14587.07	19588.42	19588.42	19588.42	25.53
77393.86	85821.00	57633.50	77393.86	77393.86	77393.86	25.53
18604.32	18604.32	14325.33	13000.00	13000.00	13000.00	23
45771.38	44200.00	34034.00	30000.00	30000.00	30000.00	25.53
177739.00	177739.00	124417.30	177739.00	177739.00	177739.00	30
35644.00	35644.00	24950.50	35644.00	35644.00	35644.00	30
528180.00	528180.00	369726.00	528180.00	528180.00	528180.00	30
593620.00	593620.00	415534.00	593620.00	593620.00	593620.00	30
79195.00	88236.00	64147.95	79195.00	79195.00	79195.00	19
0	74880.00	60652.70	33171.00	88835.00	37440.00	19
96155.00	83232.00	67415.55	96155.00	96155.00	96155.00	21.88
158472.16	155658.00	125168.01	158472.16	158472.16	158472.16	21.02
0	130844.24	0	0	0	0	19
0	46525.60	28778.39	11581.64	11581.64	11581.64	23
0	67827.68	42208.53	96580.30	96580.30	90000.00	23
0	20000.00	11550.00	15000.00	15000.00	0	23
167036.93	110866.00	120143.04	167136.93	167036.93	167036.93	25.74
334756.20	300000.00	274500.48	334756.20	334756.20	334756.20	18
417799.00	446780.00	330617.20	446780.00	440982.00	440982.00	26
202839.00	214200.00	160648.49	202839.00	202839.00	202839.00	20.8
0	125656.75	109309.61	138225.22	138225.22	138225.22	18
131890.63	135512.95	98900.12	131890.63	94859.07	94859.07	20
0	309713.42	181337.53	278742.08	126421.56	126421.56	18.17
13557.43	30792.49	10179.02	13557.43	13557.43	12545.60	20
219893.62	379300.00	177080.34	300926.52	300926.42	190000.00	19.47
60800.00	60800.00	50768.00	60800.00	60800.00	60800.00	16.5
101888.38	132000.00	110220.00	124245.47	171027.06	101888.38	16.5
683345.00	917954.87	561505.39	683345.00	646846.87	646846.87	20
286800.00	286800.00	200760.00	286800.00	286800.00	286800.00	30
7738.40	7738.40	5726.42	7738.40	7738.40	7738.40	26
6939.20	6939.20	5135.01	6939.20	6939.20	6939.20	26
183625.00	202942.00	147248.89	183625.00	183625.00	183625.00	19.81
220267.14	222492.06	174187.25	220267.14	220267.14	220267.14	20.92
246181.95	251977.00	194170.12	246181.95	246181.95	246181.95	21.2
0	886961.00	605986.79	543787.00	1064957.00	1064957.00	19
82378.14	141858.92	82377.50	135134.46	135134.46	135134.46	16.5
331372.54	310158.99	276696.07	331372.54	331372.54	331372.54	16.5
469213.25	523209.21	365411.71	469213.25	469213.25	469213.25	22.12
143007.74	142360.34	97168.23	143007.74	143007.74	143007.74	16.5
241137.28	244979.60	185201.65	241137.28	241137.28	241137.28	16.5
48324.00	48324.00	34488.84	48324.00	48324.00	48324.00	28.63
53868.00	53868.00	36366.29	53868.00	53868.00	53868.00	32.49
55571.00	55571.00	39661.02	55571.00	55571.00	55571.00	28.63
0	171235.38	107023.81	132128.16	132128.32	100000.00	19
0	85545.64	65870.14	88086.68	51327.38	51327.38	23
0	78046.90	47908.83	0	83587.44	83587.44	23
73156.00	138779.44	56330.12	73156.00	73156.00	100000.00	23
76378.51	119899.29	62438.98	76378.51	76378.51	71939.57	23
92753.93	138977.06	80405.18	92753.93	92753.93	83386.24	23
0	144475.00	122803.75	144475.00	144475.00	101132.50	18.56
1055047.18	400400.00	752940.75	1055047.18	1055047.18	1055047.18	28.63
470476.30	672109.00	372617.23	470476.30	462280.39	455559.30	20.8
67056.43	67056.43	55992.12	67056.43	67056.43	67056.43	21.56
144770.21	144770.21	120883.13	144770.21	144770.21	144770.21	20.06
0	880368.98	511954.74	792332.08	624335.05	624335.05	21.72
9199.52	9199.52	7083.63	9199.52	9199.52	9199.52	23
706156.00	948597.00	545554.94	706156.00	686351.80	686351.80	20
27577.00	27577.00	18322.16	27577.00	27577.00	27577.00	33.56
191700.00	191700.00	135033.48	191700.00	191700.00	191700.00	29.56
152100.00	152100.00	102682.71	152100.00	152100.00	152100.00	32.49
94234.68	115000.00	75957.64	36734.68	94234.68	94234.68	19.4
5725.12	5725.12	4204.53	5725.14	5725.12	5725.12	25.53
115947.00	115947.00	81673.07	115947.00	115947.00	115947.00	29.56
236651.90	240500.00	185629.75	236651.90	236651.90	236651.90	21.56
390003.95	420831.40	351003.56	390003.95	390003.95	390003.95	10
411707.45	412033.40	350193.21	411707.45	411707.45	411707.45	10
349179.74	363678.60	314261.77	349179.74	349179.74	349179.74	10
351480.26	371163.00	315849.28	351480.26	351480.26	91666.16	10
68500.00	68500.00	45511.40	68500.00	68500.00	68500.00	33.56
385295.00	403200.00	322362.84	385295.00	385295.00	385295.00	20.8
36360.33	36360.33	29066.45	36360.33	36360.33	36360.33	20.06
3889.29	6366.01	2994.75	3889.29	3889.29	3889.29	23
71644.90	119408.17	53203.50	71644.90	71644.90	71644.90	25.74
172841.44	190192.76	128352.05	172841.44	172841.44	114115.66	25.74
31176.00	31176.00	21046.92	31176.00	31176.00	31176.00	32.49
347300.00	347300.00	234462.16	347300.00	347300.00	347300.00	32.49
37600.00	37600.00	25383.76	37600.00	37600.00	37600.00	32.49
277330.00	277330.00	187225.48	277330.00	277330.00	277330.00	32.49
0	276340.00	157158.10	276340.00	138170.00	138170.00	18.56
19485.34	19485.34	14469.58	19485.34	19485.34	19485.34	25.74
4794.74	4794.74	3560.51	4794.74	4794.74	4794.74	25.53
36794.60	36794.60	27323.23	36794.60	36794.60	36794.60	25.74
3758.48	3758.48	2791.00	3758.48	3758.48	3758.48	25.74
25561.16	25561.16	18981.41	25561.16	25561.16	25561.16	25.74
241203.20	241203.20	172136.11	241203.20	241203.20	241203.20	28.63
14000.00	20488.00	10396.40	14000.00	14000.00	14000.00	25.74
11712.45	18339.00	8697.67	11712.45	11712.45	11712.45	25.74
28253.40	40362.00	20980.97	28253.40	28253.40	28253.40	25.74
47570.34	38704.00	35325.73	47570.34	47570.34	47570.34	25.74
23249.16	21897.00	17264.56	38577.06	38577.06	27413.74	25.74
0	22510.00	16679.27	22461.00	22461.00	15722.70	25.74
9618.00	13169.00	7142.21	9618.00	9618.00	9618.00	25.53
0	266040.00	218083.63	266040.00	452268.00	452268.00	18.03
0	270324.00	221595.40	270324.00	459551.00	459551.00	18.03
213360.00	304812.00	160933.39	213360.00	213360.00	213360.00	24.57
785046.65	785046.65	603803.52	785046.65	785046.65	785046.65	28.63
84008.47	143891.62	68046.86	84008.47	84008.47	84008.47	19
697337.00	701486.20	571816.34	697337.00	697337.00	697337.00	18
776314.00	816392.70	764217.00	776314.20	776314.20	776314.20	15
1343328.74	1853795.00	985130.13	1343328.74	1343328.74	1343328.74	26.67
69854.46	77942.62	51224.28	69854.46	69854.46	69854.46	26.67
67741.20	70423.00	49680.39	67741.20	67741.20	67741.20	26.66
186815.29	179894.90	149536.67	186815.29	186815.29	186815.29	19.95
500000.00	500000.00	390600.00	500000.00	500000.00	500000.00	21.88
133953.60	145813.00	105145.21	133953.60	133953.59	133953.59	21.51
570595.64	573223.09	412711.83	570595.64	570595.64	570595.64	27.67
271646.00	271633.00	194870.80	271646.00	271646.00	271646.00	28.26
49750.00	56700.85	42525.64	49550.00	49550.00	49550.00	30
471088.27	457650.80	353316.20	471088.27	471088.27	471088.27	27.9
120575.00	107315.25	87289.40	120575.00	120575.00	120575.00	27.61
129606.00	77605.57	88637.95	129606.00	129606.00	129606.00	31.61
73286.00	72229.91	50177.23	73286.00	73286.00	73286.00	31.53
142370.23	113323.25	115319.89	142370.23	142370.23	142370.23	19
111018.55	176100.00	89925.02	111018.55	111018.55	111018.55	19
32450.00	32450.00	26599.00	32450.00	32450.00	32450.00	18.03
141656.01	197850.00	120407.61	141656.01	141656.01	141656.01	15
206758.36	232582.65	167474.27	206758.36	206758.36	206758.36	19
1214620.86	1215723.97	773780.40	1215723.97	1215723.97	1215723.97	27.67
136843.00	136843.00	110842.83	136843.00	136843.00	136843.00	19
89000.00	89000.00	72090.00	89000.00	89000.00	89000.00	19
92975.00	92975.00	75309.75	92975.00	92975.00	92975.00	19
90920.00	90920.00	73645.20	90920.00	90920.00	90920.00	19
97472.00	97472.00	79405.36	97472.00	97472.00	97472.00	18.54
96096.00	96096.00	78209.88	96096.00	96096.00	96096.00	18.61
198391.00	198391.00	160696.71	198391.00	198391.00	198391.00	19
199236.00	199236.00	162889.10	199236.00	199236.00	199236.00	18.24
90388.00	90388.00	74246.50	90388.00	90388.00	90388.00	17.86
93213.00	93213.00	75502.52	93213.00	93213.00	93213.00	22.85
66532.60	66532.60	53891.41	66532.60	66532.60	66532.60	19
28158.12	38978.00	19279.86	28158.12	28158.12	28158.12	31.53
39337.28	55496.00	26934.24	39337.28	39337.28	39337.28	31.53
35352.79	48934.00	18340.47	25239.68	35352.79	35352.79	29
20038.10	32595.00	13207.60	20038.10	20038.10	20038.10	34.09
49538.74	39381.00	22155.32	45233.51	49538.74	49538.74	29
55528.46	41131.00	25433.29	51960.16	55528.46	55528.46	31.53
72101.64	81488.00	41261.77	72101.64	72101.64	72101.64	29
127711.55	73908.00	46968.49	143850.86	127711.55	127711.55	29
53321.14	61092.00	36508.98	53321.14	53321.14	53321.14	31.53
134593.31	86302.18	109020.41	134593.31	134593.31	134593.31	19
110977.97	84059.01	89892.16	110977.97	110977.97	110977.97	19
39493.51	76806.00	31989.74	39493.51	39493.51	39493.51	19
322344.31	365963.23	261098.89	322344.31	322344.31	322344.31	19
245045.40	130000.00	198486.77	245045.40	245045.40	245045.40	19
257468.12	300000.00	205739.44	257468.12	257468.12	257468.12	20.09
262806.17	300000.00	212440.34	262806.17	262806.17	262806.17	19.16
0	88845.00	0	0	0	0	19
44443.29	44443.29	35999.06	44443.29	44443.29	44443.29	19
183935.25	172270.00	137951.44	183935.25	183935.25	183935.25	25
73971.42	64711.00	56744.47	73971.42	73971.42	73971.42	23.29
543828.61	363073.00	393351.23	543828.61	543828.61	543828.61	27.67
1647775.00	1603778.73	1238981.48	1647775.00	1177279.44	1177279.44	18
399732.00	407941.66	319785.60	399732.00	399732.00	399732.00	20
366066.00	366066.20	264038.40	366065.05	366065.05	366065.05	27.87
888590.00	888590.50	642895.47	888589.00	888589.00	888589.00	27.65
106027.26	133342.00	75279.35	106027.26	106027.26	106027.26	29
87059.79	115647.00	61812.45	87059.79	87059.79	87059.79	29
40446.31	57012.00	27693.59	40446.31	40446.31	40446.31	31.53
133907.10	133907.10	107125.68	133907.10	133907.10	133907.10	20
89946.00	89946.00	71956.80	89946.00	89946.00	89946.00	20
1119495.39	1259612.10	951571.08	1119495.39	1119495.40	1119495.40	15
2072.00	2233.00	1698.42	2072.00	2072.00	2072.00	18.03
365194.30	365234.30	263954.84	365194.00	365194.00	365194.00	27.72
68809.63	35786.00	70666.46	68809.63	68809.63	68809.63	31.53
13968.64	20879.00	9917.73	13968.64	13968.64	13968.64	29
25152.36	26495.00	17221.82	25152.36	25152.36	25152.36	31.53
79456.22	76954.00	56413.92	119001.88	79456.22	79456.22	29
26426.67	31144.00	18094.34	26426.67	26426.67	26426.67	31.53
54692.27	90821.00	42840.03	54692.27	54692.27	54692.27	29
56184.98	62333.00	41193.03	56184.98	56184.98	56184.98	29
95430.23	112091.00	67755.46	157428.74	95430.23	95430.23	29
64080.00	64080.00	45496.80	64080.00	64080.00	64080.00	29
157465.00	157464.00	127546.65	157465.00	157465.00	157465.00	19
202621.00	202621.00	164123.01	202621.00	202621.00	202621.00	19
18464.00	18464.00	14955.84	18464.00	18464.00	18464.00	19
78406.00	78406.00	63111.68	78406.00	78406.00	78406.00	19.51
226116.70	226116.70	182123.44	226116.70	226116.70	226116.70	19.46
2422423.36	2350091.28	1886690.20	2524972.41	2524972.41	2524972.41	18.1
358877.00	64080.00	305045.45	358877.00	358877.00	358877.00	15
162358.00	182419.60	129886.40	162358.00	132665.00	132665.00	20
239366.00	239366.00	191981.11	239366.00	239366.00	239366.00	19.8
238217.00	238217.00	184475.24	238217.00	238217.00	238217.00	22.56
335667.00	335667.00	261825.63	335667.00	335667.00	335667.00	22
204344.00	204344.00	159582.86	204344.00	204344.00	204344.00	21.9
43781.00	43781.00	33904.00	43781.00	43781.00	43781.00	22.56
110099.38	140922.44	85260.96	110099.38	110099.38	110099.38	22.56
27091.00	37977.30	22062.91	27090.95	27090.95	27090.95	18.56
0	27347.10	13400.00	14391.00	14391.00	14391.00	18.559
438626.00	506286.60	350900.80	438626.00	438626.00	438626.00	20
45557.07	49262.00	21018.87	25455.45	45557.07	45557.07	31.53
36601.30	45419.00	16716.49	30686.08	36601.30	36601.30	31.53
37204.80	49200.00	16754.09	16660.74	37204.80	37204.80	31.53
255995.81	259768.93	185161.77	255995.81	255995.81	255995.81	27.67
471944.15	478036.84	341357.20	471944.15	471944.15	471944.15	27.67
39289.00	39289.00	28391.62	39289.00	39289.00	39289.00	27.74
376114.64	406714.11	295677.56	376114.64	376114.64	376114.64	21.39
